Вакансия;Ссылка;Компания;Оплата;Описание;Требования
Junior PHP-разработчик;https://omsk.hh.ru/vacancy/31956202?query=django;ИП Sibdev;30 000-50 000 руб.;;Опыт в PHP и Wordpress от 1 года. Владение СУБД PostgreSQL/MySQL + Redis. Базовые знания вёрстки HTML, SCSS, Gulp. 
Программист Python;https://omsk.hh.ru/vacancy/31925598?query=django; Элек.ру;от 25 000 руб.;;Знание Python/Django. Знание HTML, CSS, JavaScript. Опыт програмирования.
Аналитик в известную ит - компанию;https://omsk.hh.ru/vacancy/31955853?query=django;ООО Уника;90 000-130 000 руб.;Анализ бизнес-процессов клиента на соответствие текущим возможностям системы, разработка изменений в процессы предприятия. Постановка бизнес-задачи программистам на разработку...;Знания в прикладной области: Python, Django, HTML5, CSS3, Javascript, фреймворки Frontend, Redis, опыт работы с git, Jenkins, СУБД...
Разработчик Python;https://omsk.hh.ru/vacancy/31559788?query=django; Ingate;от 95 000 руб.;Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем.;...от 2 лет. Желательно знание базовых структур данных и операций над ними. Желателен опыт работы с Django, Tornado, Flask, Falcon.
Разработчик Python;https://omsk.hh.ru/vacancy/31559789?query=django; Ingate;от 95 000 руб.;Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем.;...от 2 лет. Желательно знание базовых структур данных и операций над ними. Желателен опыт работы с Django, Tornado, Flask, Falcon.
Разработчик Python;https://omsk.hh.ru/vacancy/31559790?query=django; Ingate;от 95 000 руб.;Проектирование и реализация программных систем. Доработка, отладка и оптимизация существующих программ. Анализ и решение сложных технических проблем.;...от 2 лет. Желательно знание базовых структур данных и операций над ними. Желателен опыт работы с Django, Tornado, Flask, Falcon.
Middle .NET Developer (Web);https://omsk.hh.ru/vacancy/31944654?query=django; ENBISYS;от 70 000 руб.;Web-сервер Nginx. Сервера с алгоритмами машинного обучения на Python + Django, общение с .NET логикой через REST сервисы. ;Back-end написан на C#, .NET Core, Entity Framework, LINQ to SQL, REST и JWT. Доступ к профессиональным ресурсам и...
Middle / Senior Python developer;https://omsk.hh.ru/vacancy/30548119?query=django;ООО МедиаСофт;80 000-130 000 руб.;Любой другой язык программирования. - Как разбираться в чужом коде и вносить в него изменения, работать с легаси.;Английский язык.
Программист Python;https://omsk.hh.ru/vacancy/31697702?query=django; Уральские авиалинии, Авиакомпания;от 40 000 руб.;Поддержка существующих сервисов (корпоративные веб сервисы, внешние API, независимые приложения). Разработка нового ПО (веб стек, приложения на python). ;Опыт промышленного программирования не менее 2 лет. Уверенное знание python. Уверенное знание linux. Опыт работы с базами данных. 
Python-разработчик;https://omsk.hh.ru/vacancy/31936662?query=django; АКМЭ сервис;от 70 000 руб.;Разработка и поддержка программных продуктов компании. Участвовать во всём процессе разработки - от проектирования до запуска. Оптимизировать работу приложения.;Опыт работы от 2х лет. Уверенное владение Python\Django. Опыт написания клиент-серверных приложений. Понимание основных структур данных и...
